region,number_of_station,region_id
경기,43,1
경남,24,2
충북,22,3
전북,17,4
인천,15,5
강원,15,6
경북,14,7
울산,13,8
충남,13,9
전남,11,10
부산,10,11
서울,10,12
대전,9,13
광주,8,14
대구,5,15
세종,3,16
제주,1,17
경상,53,18
전라,36,19
충청,47,20
