region,region_id
경기,1
경남,2
충북,3
전북,4
인천,5
강원,6
경북,7
울산,8
충남,9
전남,10
부산,11
서울,12
대전,13
광주,14
대구,15
세종,16
제주,17
경상,18
전라,19
충청,20
