year,ev_car_total
2010,230
2011,1586
2012,6451
2013,13581
2014,25877
2015,49842
2016,88452
2017,207643
2018,471875
2019,876754
2020,1357693
2021,2144968
2022,3716564
2023,933755
2024,7338831
2025,6834736
